****************************************
Report : report_global_slack
Design : multdiv
Version: K-2015.06-SP3-2
Date   : Wed Apr 28 12:37:20 2021
****************************************

       Max_Rise      Max_Fall   Point
              *             *   product_in_tri2_62_/A
              *             *   product_in_tri2_62_/EN
              *             *   product_in_tri2_62_/Z
              *             *   product_in_tri3_60_/A
              *             *   product_in_tri3_60_/EN
              *             *   product_in_tri3_60_/Z
              *             *   product_in_tri2_60_/A
              *             *   product_in_tri2_60_/EN
              *             *   product_in_tri2_60_/Z
              *             *   product_in_tri3_55_/A
              *             *   product_in_tri3_55_/EN
              *             *   product_in_tri3_55_/Z
              *             *   product_in_tri2_55_/A
              *             *   product_in_tri2_55_/EN
              *             *   product_in_tri2_55_/Z
              *             *   product_in_tri3_57_/A
              *             *   product_in_tri3_57_/EN
              *             *   product_in_tri3_57_/Z
              *             *   product_in_tri2_57_/A
              *             *   product_in_tri2_57_/EN
              *             *   product_in_tri2_57_/Z
           0.39          0.49   product_in_tri3_1_/A
              *             *   product_in_tri3_1_/EN
           0.39          0.49   product_in_tri3_1_/Z
          -2.28         -2.18   U864/A
          -2.18         -2.28   U864/ZN
          -1.55         -1.50   U865/A
          -1.50         -1.55   U865/ZN
          -2.02         -2.01   U866/A
          -2.01         -2.02   U866/ZN
          -2.20         -2.16   U867/A
          -2.16         -2.20   U867/ZN
           0.18         -0.27   U868/A
          -0.27          0.18   U868/ZN
           0.16         -0.05   U869/A
          -0.05          0.16   U869/ZN
          -0.02         -0.18   U870/A
          -0.18         -0.02   U870/ZN
              *             *   U940/A
              *             *   U940/ZN
              *             *   U945/A
              *             *   U945/ZN
          -2.31         -2.22   U959/A1
          -2.24         -2.13   U959/A2
          -2.31         -2.22   U959/ZN
          -2.31         -2.27   U962/A1
          -2.20         -2.15   U962/A2
          -2.31         -2.27   U962/ZN
          -0.54         -0.69   U1015/A1
          -0.52         -0.65   U1015/A2
          -0.69         -0.54   U1015/ZN
          -2.24         -2.21   U1030/A
          -2.21         -2.24   U1030/ZN
           0.09          0.31   U1164/A
           0.31          0.09   U1164/ZN
           0.11          0.32   U1165/A
           0.32          0.11   U1165/ZN
           0.11          0.32   U1174/A
           0.32          0.11   U1174/ZN
           0.07          0.27   U1175/A
           0.27          0.07   U1175/ZN
           0.26          0.41   U1181/A
           0.41          0.26   U1181/ZN
           0.07          0.30   U1184/A
           0.30          0.07   U1184/ZN
              *             *   U165/A1
              *             *   U165/A2
              *             *   U165/B1
           0.32          0.27   U165/B2
           0.27          0.32   U165/ZN
           0.29          0.33   U172/A
           0.27          0.18   U172/B
           0.31          0.18   U172/Z
              *             *   U278/A1
              *             *   U278/A2
              *             *   U278/B1
              *             *   U278/B2
              *             *   U278/ZN
          -0.69         -0.54   U308/A1
          -0.60         -0.50   U308/A2
          -0.54         -0.69   U308/ZN
           0.32          0.25   U342/A1
           0.48          0.48   U342/A2
           0.25          0.32   U342/B1
           0.45          0.44   U342/B2
           0.25          0.25   U342/ZN
          -0.06          0.07   U363/A1
           0.08          0.10   U363/A2
           0.02         -0.02   U363/B1
           0.13          0.11   U363/B2
          -0.02         -0.06   U363/ZN
          -0.05          0.01   U374/A1
           0.09          0.03   U374/A2
          -0.06         -0.14   U374/B1
           0.11          0.03   U374/B2
          -0.14         -0.06   U374/ZN
           0.10         -0.01   U389/A1
           0.01         -0.15   U389/A2
           0.08         -0.04   U389/B1
          -0.09         -0.09   U389/B2
          -0.15         -0.09   U389/ZN
           0.03         -0.09   U398/A1
          -0.05         -0.21   U398/A2
           0.03         -0.10   U398/B1
          -0.15         -0.15   U398/B2
          -0.21         -0.15   U398/ZN
          -0.18         -0.20   U405/A1
          -0.02         -0.17   U405/A2
          -0.14         -0.31   U405/B1
          -0.02         -0.18   U405/B2
          -0.31         -0.18   U405/ZN
          -0.10         -0.23   U416/A1
          -0.20         -0.37   U416/A2
          -0.11         -0.25   U416/B1
          -0.29         -0.30   U416/B2
          -0.37         -0.29   U416/ZN
          -0.35         -0.30   U425/A1
          -0.18         -0.27   U425/A2
          -0.31         -0.42   U425/B1
          -0.19         -0.28   U425/B2
          -0.42         -0.35   U425/ZN
          -0.22         -0.32   U436/A1
          -0.38         -0.50   U436/A2
          -0.22         -0.34   U436/B1
          -0.40         -0.40   U436/B2
          -0.50         -0.40   U436/ZN
          -0.34         -0.39   U440/A1
          -0.51         -0.57   U440/A2
          -0.33         -0.40   U440/B1
          -0.53         -0.46   U440/B2
          -0.57         -0.53   U440/ZN
          -0.53         -0.47   U452/A1
          -0.35         -0.42   U452/A2
          -0.49         -0.59   U452/B1
          -0.36         -0.44   U452/B2
          -0.59         -0.53   U452/ZN
          -0.44         -0.48   U461/A1
          -0.63         -0.67   U461/A2
          -0.47         -0.51   U461/B1
          -0.64         -0.56   U461/B2
          -0.67         -0.64   U461/ZN
          -0.49         -0.55   U471/A1
          -0.65         -0.73   U471/A2
          -0.48         -0.57   U471/B1
          -0.66         -0.62   U471/B2
          -0.73         -0.66   U471/ZN
          -0.68         -0.66   U482/A1
          -0.52         -0.63   U482/A2
          -0.64         -0.78   U482/B1
          -0.53         -0.64   U482/B2
          -0.78         -0.68   U482/ZN
          -0.63         -0.69   U492/A1
          -0.79         -0.87   U492/A2
          -0.64         -0.71   U492/B1
          -0.81         -0.76   U492/B2
          -0.87         -0.81   U492/ZN
          -0.85         -0.77   U501/A1
          -0.69         -0.74   U501/A2
          -0.81         -0.88   U501/B1
          -0.70         -0.75   U501/B2
          -0.88         -0.85   U501/ZN
          -0.73         -0.78   U511/A1
          -0.89         -0.96   U511/A2
          -0.73         -0.80   U511/B1
          -0.90         -0.85   U511/B2
          -0.96         -0.90   U511/ZN
          -0.84         -0.86   U516/A1
          -1.00         -1.03   U516/A2
          -0.84         -0.87   U516/B1
          -1.02         -0.92   U516/B2
          -1.03         -1.02   U516/ZN
          -1.02         -0.93   U528/A1
          -0.85         -0.89   U528/A2
          -0.98         -1.04   U528/B1
          -0.86         -0.91   U528/B2
          -1.04         -1.02   U528/ZN
          -0.95         -0.95   U537/A1
          -1.12         -1.13   U537/A2
          -0.95         -0.96   U537/B1
          -1.14         -1.02   U537/B2
          -1.13         -1.14   U537/ZN
          -0.97         -1.01   U547/A1
          -1.14         -1.19   U547/A2
          -0.97         -1.02   U547/B1
          -1.14         -1.07   U547/B2
          -1.19         -1.14   U547/ZN
          -1.18         -1.12   U556/A1
          -1.00         -1.08   U556/A2
          -1.13         -1.24   U556/B1
          -1.01         -1.10   U556/B2
          -1.24         -1.18   U556/ZN
          -1.11         -1.14   U566/A1
          -1.28         -1.33   U566/A2
          -1.11         -1.16   U566/B1
          -1.29         -1.21   U566/B2
          -1.33         -1.29   U566/ZN
          -1.75         -1.71   U586/A1
          -1.92         -1.89   U586/A2
          -1.75         -1.73   U586/B1
          -1.93         -1.79   U586/B2
          -1.89         -1.93   U586/ZN
          -1.66         -1.65   U592/A1
          -1.82         -1.83   U592/A2
          -1.66         -1.67   U592/B1
          -1.83         -1.72   U592/B2
          -1.83         -1.83   U592/ZN
          -1.62         -1.60   U597/A1
          -1.79         -1.78   U597/A2
          -1.62         -1.62   U597/B1
          -1.80         -1.67   U597/B2
          -1.78         -1.80   U597/ZN
          -1.52         -1.56   U602/A1
          -1.68         -1.74   U602/A2
          -1.52         -1.58   U602/B1
          -1.70         -1.63   U602/B2
          -1.74         -1.70   U602/ZN
          -1.48         -1.47   U607/A1
          -1.66         -1.66   U607/A2
          -1.49         -1.49   U607/B1
          -1.66         -1.54   U607/B2
          -1.66         -1.66   U607/ZN
          -1.54         -1.44   U612/A1
          -1.37         -1.40   U612/A2
          -1.50         -1.55   U612/B1
          -1.38         -1.42   U612/B2
          -1.55         -1.54   U612/ZN
          -1.32         -1.32   U616/A1
          -1.40         -1.45   U616/A2
          -1.31         -1.33   U616/B1
          -1.49         -1.39   U616/B2
          -1.45         -1.49   U616/ZN
          -1.22         -1.26   U621/A1
          -1.40         -1.45   U621/A2
          -1.23         -1.28   U621/B1
          -1.41         -1.33   U621/B2
          -1.45         -1.41   U621/ZN
          -1.24         -1.20   U628/A1
          -1.11         -1.19   U628/A2
          -1.24         -1.34   U628/B1
          -1.12         -1.20   U628/B2
          -1.34         -1.24   U628/ZN
          -1.84         -1.84   U647/A1
          -2.01         -2.02   U647/A2
          -2.02         -1.90   U647/B1
          -1.84         -1.86   U647/B2
          -2.02         -2.02   U647/ZN
           0.28          0.37   product_in_tri3_2_/A
              *             *   product_in_tri3_2_/EN
           0.28          0.37   product_in_tri3_2_/Z
              *             *   U877/A
              *             *   U877/ZN
              *             *   U878/A
              *             *   U878/ZN
          -2.31         -2.22   U900/A
          -2.22         -2.31   U900/ZN
          -2.22         -2.10   U901/A
          -2.10         -2.22   U901/ZN
          -2.31         -2.27   U903/A
          -2.27         -2.31   U903/ZN
          -1.58         -1.46   U916/A
          -1.46         -1.58   U916/ZN
          -1.93         -1.85   U918/A
          -1.85         -1.93   U918/ZN
          -0.92         -0.81   U929/A
          -0.81         -0.92   U929/ZN
          -2.32         -2.21   U960/A1
          -2.16         -2.20   U960/A2
          -2.32         -2.21   U960/ZN
          -2.33         -2.27   U961/A1
          -2.18         -2.28   U961/A2
          -2.33         -2.28   U961/ZN
          -2.21         -2.22   U988/A
          -2.22         -2.21   U988/ZN
          -2.15         -2.24   U990/A
          -2.24         -2.15   U990/ZN
              *             *   U1136/A1
           0.30          0.07   U1136/A2
           0.07          0.30   U1136/ZN
              *             *   U1139/A1
           0.27          0.17   U1139/A2
           0.17          0.27   U1139/ZN
              *             *   U1142/A1
           0.32          0.11   U1142/A2
           0.11          0.32   U1142/ZN
              *             *   U1144/A1
           0.41          0.26   U1144/A2
           0.26          0.41   U1144/ZN
              *             *   U1147/A1
           0.32          0.11   U1147/A2
           0.11          0.32   U1147/ZN
              *             *   U1149/A1
           0.44          0.27   U1149/A2
           0.27          0.44   U1149/ZN
              *             *   U1150/A1
           0.31          0.09   U1150/A2
           0.09          0.31   U1150/ZN
              *             *   U1151/A1
           0.44          0.27   U1151/A2
           0.27          0.44   U1151/ZN
              *             *   U1154/A1
           0.30          0.07   U1154/A2
           0.07          0.30   U1154/ZN
              *             *   U1163/A1
           0.47          0.28   U1163/A2
           0.28          0.47   U1163/ZN
          -0.24          0.15   U1166/A
           0.15         -0.24   U1166/ZN
          -0.05          0.16   U1167/A
           0.16         -0.05   U1167/ZN
          -0.18         -0.02   U1168/A
          -0.02         -0.18   U1168/ZN
           0.09          0.24   U1169/A
           0.24          0.09   U1169/ZN
          -0.27          0.18   U1173/A
           0.18         -0.27   U1173/ZN
              *             *   data_result[0]
              *             *   U164/A1
              *             *   U164/A2
              *             *   U164/B1
              *             *   U164/B2
              *             *   U164/ZN
           0.20          0.21   U169/A
           0.30          0.34   U169/B
           0.26          0.20   U169/ZN
              *             *   U170/A1
              *             *   U170/A2
              *             *   U170/B1
              *             *   U170/B2
              *             *   U170/ZN
              *             *   U171/A1
              *             *   U171/A2
              *             *   U171/B1
           0.31          0.18   U171/B2
           0.18          0.31   U171/ZN
              *             *   U173/A1
              *             *   U173/A2
              *             *   U173/B1
              *             *   U173/B2
              *             *   U173/ZN
          -0.37         -0.29   U700/A
          -0.29         -0.37   U700/ZN
          -1.89         -1.93   U701/A
          -1.93         -1.89   U701/ZN
              *             *   product_in_tri4_0_/A
           0.28          0.47   product_in_tri4_0_/EN
           0.47          0.28   product_in_tri4_0_/Z
           0.50          0.62   product_in_tri4_2_/A
           0.07          0.30   product_in_tri4_2_/EN
           0.30          0.07   product_in_tri4_2_/Z
           0.54          0.66   product_in_tri4_32_/A
           0.09          0.31   product_in_tri4_32_/EN
           0.31          0.09   product_in_tri4_32_/Z
           0.54          0.66   product_in_tri4_25_/A
           0.09          0.31   product_in_tri4_25_/EN
           0.31          0.09   product_in_tri4_25_/Z
           0.54          0.66   product_in_tri4_7_/A
           0.09          0.31   product_in_tri4_7_/EN
           0.31          0.09   product_in_tri4_7_/Z
           0.47          0.61   product_in_tri4_3_/A
           0.09          0.31   product_in_tri4_3_/EN
           0.31          0.09   product_in_tri4_3_/Z
           0.54          0.66   product_in_tri4_8_/A
           0.09          0.31   product_in_tri4_8_/EN
           0.31          0.09   product_in_tri4_8_/Z
           0.54          0.66   product_in_tri4_4_/A
           0.09          0.31   product_in_tri4_4_/EN
           0.31          0.09   product_in_tri4_4_/Z
           0.54          0.66   product_in_tri4_9_/A
           0.09          0.31   product_in_tri4_9_/EN
           0.31          0.09   product_in_tri4_9_/Z
           0.54          0.66   product_in_tri4_11_/A
           0.09          0.31   product_in_tri4_11_/EN
           0.31          0.09   product_in_tri4_11_/Z
           0.54          0.66   product_in_tri4_12_/A
           0.09          0.31   product_in_tri4_12_/EN
           0.31          0.09   product_in_tri4_12_/Z
           0.54          0.66   product_in_tri4_15_/A
           0.07          0.30   product_in_tri4_15_/EN
           0.30          0.07   product_in_tri4_15_/Z
           0.54          0.66   product_in_tri4_16_/A
           0.07          0.30   product_in_tri4_16_/EN
           0.30          0.07   product_in_tri4_16_/Z
           0.54          0.66   product_in_tri4_20_/A
           0.07          0.30   product_in_tri4_20_/EN
           0.30          0.07   product_in_tri4_20_/Z
           0.54          0.65   product_in_tri4_10_/A
           0.09          0.31   product_in_tri4_10_/EN
           0.31          0.09   product_in_tri4_10_/Z
           0.54          0.66   product_in_tri4_14_/A
           0.07          0.30   product_in_tri4_14_/EN
           0.30          0.07   product_in_tri4_14_/Z
           0.54          0.66   product_in_tri4_30_/A
           0.07          0.30   product_in_tri4_30_/EN
           0.30          0.07   product_in_tri4_30_/Z
           0.54          0.66   product_in_tri4_5_/A
           0.07          0.30   product_in_tri4_5_/EN
           0.30          0.07   product_in_tri4_5_/Z
           0.54          0.66   product_in_tri4_29_/A
           0.09          0.31   product_in_tri4_29_/EN
           0.31          0.09   product_in_tri4_29_/Z
           0.54          0.66   product_in_tri4_28_/A
           0.09          0.31   product_in_tri4_28_/EN
           0.31          0.09   product_in_tri4_28_/Z
           0.54          0.66   product_in_tri4_24_/A
           0.09          0.31   product_in_tri4_24_/EN
           0.31          0.09   product_in_tri4_24_/Z
           0.54          0.66   product_in_tri4_27_/A
           0.09          0.31   product_in_tri4_27_/EN
           0.31          0.09   product_in_tri4_27_/Z
           0.54          0.66   product_in_tri4_26_/A
           0.09          0.31   product_in_tri4_26_/EN
           0.31          0.09   product_in_tri4_26_/Z
           0.54          0.66   product_in_tri4_18_/A
           0.07          0.30   product_in_tri4_18_/EN
           0.30          0.07   product_in_tri4_18_/Z
           0.54          0.66   product_in_tri4_19_/A
           0.07          0.30   product_in_tri4_19_/EN
           0.30          0.07   product_in_tri4_19_/Z
           0.54          0.66   product_in_tri4_22_/A
           0.09          0.31   product_in_tri4_22_/EN
           0.31          0.09   product_in_tri4_22_/Z
           0.54          0.66   product_in_tri4_6_/A
           0.07          0.30   product_in_tri4_6_/EN
           0.30          0.07   product_in_tri4_6_/Z
           0.54          0.66   product_in_tri4_23_/A
           0.09          0.31   product_in_tri4_23_/EN
           0.31          0.09   product_in_tri4_23_/Z
           0.27          0.32   product_in_tri3_3_/A
              *             *   product_in_tri3_3_/EN
           0.27          0.32   product_in_tri3_3_/Z
           0.54          0.66   product_in_tri4_13_/A
           0.07          0.30   product_in_tri4_13_/EN
           0.30          0.07   product_in_tri4_13_/Z
           0.54          0.66   product_in_tri4_17_/A
           0.07          0.30   product_in_tri4_17_/EN
           0.30          0.07   product_in_tri4_17_/Z
           0.54          0.66   product_in_tri4_21_/A
           0.07          0.30   product_in_tri4_21_/EN
           0.30          0.07   product_in_tri4_21_/Z
           0.53          0.65   product_in_tri4_31_/A
           0.09          0.31   product_in_tri4_31_/EN
           0.31          0.09   product_in_tri4_31_/Z
          -2.32         -2.21   U902/A
          -2.21         -2.32   U902/ZN
          -2.33         -2.28   U904/A
          -2.28         -2.33   U904/ZN
          -1.51         -1.48   U913/A
          -1.48         -1.51   U913/ZN
          -2.22         -2.21   U914/A
          -2.21         -2.22   U914/ZN
          -1.66         -1.66   U915/A
          -1.66         -1.66   U915/ZN
          -1.67         -1.57   U917/A
          -1.57         -1.67   U917/ZN
          -2.05         -2.09   U921/A
          -2.09         -2.05   U921/ZN
          -0.86         -0.82   U927/A
          -0.82         -0.86   U927/ZN
          -1.01         -0.92   U928/A
          -0.92         -1.01   U928/ZN
           0.27          0.29   U931/A
           0.29          0.27   U931/ZN
           0.26          0.28   U932/A
           0.28          0.26   U932/ZN
           0.25          0.25   U933/A
           0.25          0.25   U933/ZN
          -0.54         -0.69   U1001/A1
          -0.45         -0.56   U1001/A2
          -0.69         -0.54   U1001/ZN
           0.25          0.28   U1033/A
           0.28          0.25   U1033/ZN
              *             *   U1133/A1
           0.15         -0.24   U1133/A2
          -0.24          0.15   U1133/ZN
              *             *   U1135/A1
           0.27          0.10   U1135/A2
           0.10          0.27   U1135/ZN
              *             *   U1140/A1
          -0.02         -0.18   U1140/A2
          -0.18         -0.02   U1140/ZN
              *             *   U1148/A1
           0.18         -0.27   U1148/A2
          -0.27          0.18   U1148/ZN
              *             *   U1152/A1
           0.24          0.09   U1152/A2
           0.09          0.24   U1152/ZN
              *             *   U1157/A1
           0.16         -0.05   U1157/A2
          -0.05          0.16   U1157/ZN
              *             *   U1159/A1
           0.33          0.19   U1159/A2
           0.19          0.33   U1159/ZN
              *             *   U1160/A1
           0.33          0.19   U1160/A2
           0.19          0.33   U1160/ZN
              *             *   data_result[3]
              *             *   data_result[2]
              *             *   data_result[1]
              *             *   data_resultRDY
              *             *   U167/A1
              *             *   U167/A2
              *             *   U167/B1
              *             *   U167/B2
              *             *   U167/ZN
              *             *   U168/A1
              *             *   U168/A2
              *             *   U168/B1
           0.26          0.20   U168/B2
           0.20          0.26   U168/ZN
           0.11          0.14   U199/A1
           0.32          0.35   U199/A2
           0.14          0.11   U199/ZN
           0.39          0.35   U201/A
           0.17          0.12   U201/B
           0.23          0.12   U201/ZN
              *             *   U366/A1
          -0.32         -0.39   U366/A2
              *             *   U366/B1
          -0.31         -0.40   U366/B2
          -0.40         -0.32   U366/ZN
          -0.31         -0.44   U373/A1
              *             *   U373/A2
          -0.33         -0.46   U373/B1
              *             *   U373/B2
          -0.46         -0.33   U373/ZN
          -0.35         -0.53   U386/A1
              *             *   U386/A2
          -0.38         -0.55   U386/B1
              *             *   U386/B2
          -0.55         -0.38   U386/ZN
          -0.39         -0.57   U397/A1
              *             *   U397/A2
          -0.41         -0.59   U397/B1
              *             *   U397/B2
          -0.59         -0.41   U397/ZN
          -0.46         -0.66   U408/A1
              *             *   U408/A2
          -0.49         -0.67   U408/B1
              *             *   U408/B2
          -0.67         -0.49   U408/ZN
          -0.54         -0.71   U415/A1
              *             *   U415/A2
          -0.56         -0.73   U415/B1
              *             *   U415/B2
          -0.73         -0.56   U415/ZN
          -0.62         -0.75   U424/A1
              *             *   U424/A2
          -0.64         -0.77   U424/B1
              *             *   U424/B2
          -0.77         -0.64   U424/ZN
          -0.65         -0.84   U435/A1
              *             *   U435/A2
          -0.67         -0.86   U435/B1
              *             *   U435/B2
          -0.86         -0.67   U435/ZN
          -0.78         -0.90   U443/A1
              *             *   U443/A2
          -0.81         -0.92   U443/B1
              *             *   U443/B2
          -0.92         -0.81   U443/ZN
          -0.81         -0.92   U451/A1
              *             *   U451/A2
          -0.83         -0.94   U451/B1
              *             *   U451/B2
          -0.94         -0.83   U451/ZN
          -0.90         -0.99   U460/A1
              *             *   U460/A2
          -0.92         -1.01   U460/B1
              *             *   U460/B2
          -1.01         -0.92   U460/ZN
          -0.92         -1.06   U470/A1
              *             *   U470/A2
          -0.94         -1.07   U470/B1
              *             *   U470/B2
          -1.07         -0.94   U470/ZN
          -0.97         -1.12   U481/A1
              *             *   U481/A2
          -0.99         -1.14   U481/B1
              *             *   U481/B2
          -1.14         -0.99   U481/ZN
          -1.05         -1.19   U491/A1
              *             *   U491/A2
          -1.07         -1.21   U491/B1
              *             *   U491/B2
          -1.21         -1.07   U491/ZN
          -1.13         -1.22   U500/A1
              *             *   U500/A2
          -1.15         -1.24   U500/B1
              *             *   U500/B2
          -1.24         -1.15   U500/ZN
          -1.16         -1.29   U510/A1
              *             *   U510/A2
          -1.18         -1.30   U510/B1
              *             *   U510/B2
          -1.30         -1.18   U510/ZN
          -1.28         -1.36   U519/A1
              *             *   U519/A2
          -1.30         -1.38   U519/B1
              *             *   U519/B2
          -1.38         -1.30   U519/ZN
          -1.30         -1.39   U527/A1
              *             *   U527/A2
          -1.33         -1.40   U527/B1
              *             *   U527/B2
          -1.40         -1.33   U527/ZN
          -1.39         -1.45   U536/A1
              *             *   U536/A2
          -1.41         -1.47   U536/B1
              *             *   U536/B2
          -1.47         -1.41   U536/ZN
          -1.41         -1.52   U546/A1
              *             *   U546/A2
          -1.43         -1.53   U546/B1
              *             *   U546/B2
          -1.53         -1.43   U546/ZN
          -1.46         -1.58   U555/A1
              *             *   U555/A2
          -1.48         -1.60   U555/B1
              *             *   U555/B2
          -1.60         -1.48   U555/ZN
          -1.55         -1.65   U565/A1
              *             *   U565/A2
          -1.57         -1.67   U565/B1
              *             *   U565/B2
          -1.67         -1.57   U565/ZN
          -2.18         -2.20   U591/A1
              *             *   U591/A2
          -2.20         -2.21   U591/B1
              *             *   U591/B2
          -2.21         -2.20   U591/ZN
          -2.10         -2.16   U596/A1
              *             *   U596/A2
          -2.11         -2.17   U596/B1
              *             *   U596/B2
          -2.17         -2.11   U596/ZN
          -2.05         -2.10   U601/A1
              *             *   U601/A2
          -2.06         -2.11   U601/B1
              *             *   U601/B2
          -2.11         -2.06   U601/ZN
          -1.95         -2.07   U606/A1
              *             *   U606/A2
          -1.97         -2.09   U606/B1
              *             *   U606/B2
          -2.09         -1.97   U606/ZN
          -1.92         -1.98   U611/A1
              *             *   U611/A2
          -1.93         -1.99   U611/B1
              *             *   U611/B2
          -1.99         -1.93   U611/ZN
          -1.83         -1.90   U615/A1
              *             *   U615/A2
          -1.85         -1.91   U615/B1
              *             *   U615/B2
          -1.91         -1.85   U615/ZN
          -1.74         -1.82   U620/A1
              *             *   U620/A2
          -1.76         -1.83   U620/B1
              *             *   U620/B2
          -1.83         -1.76   U620/ZN
          -1.66         -1.77   U625/A1
              *             *   U625/A2
          -1.68         -1.78   U625/B1
              *             *   U625/B2
          -1.78         -1.68   U625/ZN
          -1.57         -1.68   U627/A1
              *             *   U627/A2
          -1.58         -1.70   U627/B1
              *             *   U627/B2
          -1.70         -1.58   U627/ZN
          -2.27         -2.31   U638/A1
              *             *   U638/A2
          -2.28         -2.33   U638/B1
              *             *   U638/B2
          -2.33         -2.28   U638/ZN
           0.49          0.60   product_in_tri_0_/A
           0.09          0.25   product_in_tri_0_/EN
           0.25          0.09   product_in_tri_0_/Z
           0.53          0.64   product_in_tri_2_/A
          -0.24          0.15   product_in_tri_2_/EN
           0.10         -0.24   product_in_tri_2_/Z
           0.54          0.66   product_in_tri_25_/A
          -0.05          0.16   product_in_tri_25_/EN
           0.16         -0.05   product_in_tri_25_/Z
           0.54          0.66   product_in_tri_7_/A
           0.10          0.28   product_in_tri_7_/EN
           0.28          0.10   product_in_tri_7_/Z
           0.54          0.66   product_in_tri_8_/A
           0.19          0.33   product_in_tri_8_/EN
           0.33          0.19   product_in_tri_8_/Z
           0.18          0.31   product_in_tri3_4_/A
              *             *   product_in_tri3_4_/EN
           0.18          0.31   product_in_tri3_4_/Z
           0.54          0.66   product_in_tri_4_/A
           0.19          0.33   product_in_tri_4_/EN
           0.33          0.19   product_in_tri_4_/Z
           0.54          0.66   product_in_tri_9_/A
          -0.05          0.16   product_in_tri_9_/EN
           0.16         -0.05   product_in_tri_9_/Z
           0.54          0.66   product_in_tri_11_/A
          -0.05          0.16   product_in_tri_11_/EN
           0.16         -0.05   product_in_tri_11_/Z
           0.54          0.66   product_in_tri_12_/A
          -0.05          0.16   product_in_tri_12_/EN
           0.16         -0.05   product_in_tri_12_/Z
           0.54          0.66   product_in_tri_15_/A
          -0.05          0.16   product_in_tri_15_/EN
           0.16         -0.05   product_in_tri_15_/Z
           0.54          0.66   product_in_tri_16_/A
          -0.05          0.16   product_in_tri_16_/EN
           0.16         -0.05   product_in_tri_16_/Z
           0.54          0.66   product_in_tri_20_/A
          -0.05          0.16   product_in_tri_20_/EN
           0.16         -0.05   product_in_tri_20_/Z
           0.54          0.66   product_in_tri_10_/A
          -0.05          0.16   product_in_tri_10_/EN
           0.16         -0.05   product_in_tri_10_/Z
           0.54          0.66   product_in_tri_14_/A
          -0.05          0.16   product_in_tri_14_/EN
           0.16         -0.05   product_in_tri_14_/Z
           0.53          0.65   product_in_tri_30_/A
          -0.05          0.16   product_in_tri_30_/EN
           0.16         -0.05   product_in_tri_30_/Z
           0.54          0.66   product_in_tri_5_/A
           0.19          0.33   product_in_tri_5_/EN
           0.33          0.19   product_in_tri_5_/Z
           0.54          0.66   product_in_tri_29_/A
          -0.05          0.16   product_in_tri_29_/EN
           0.16         -0.05   product_in_tri_29_/Z
           0.53          0.65   product_in_tri_28_/A
          -0.05          0.16   product_in_tri_28_/EN
           0.16         -0.05   product_in_tri_28_/Z
           0.54          0.66   product_in_tri_24_/A
          -0.05          0.16   product_in_tri_24_/EN
           0.16         -0.05   product_in_tri_24_/Z
           0.54          0.66   product_in_tri_27_/A
          -0.05          0.16   product_in_tri_27_/EN
           0.16         -0.05   product_in_tri_27_/Z
           0.54          0.66   product_in_tri_26_/A
          -0.05          0.16   product_in_tri_26_/EN
           0.16         -0.05   product_in_tri_26_/Z
           0.54          0.66   product_in_tri_18_/A
          -0.05          0.16   product_in_tri_18_/EN
           0.16         -0.05   product_in_tri_18_/Z
           0.54          0.66   product_in_tri_19_/A
          -0.05          0.16   product_in_tri_19_/EN
           0.16         -0.05   product_in_tri_19_/Z
           0.54          0.66   product_in_tri_13_/A
          -0.05          0.16   product_in_tri_13_/EN
           0.16         -0.05   product_in_tri_13_/Z
           0.54          0.66   product_in_tri_6_/A
           0.19          0.33   product_in_tri_6_/EN
           0.33          0.19   product_in_tri_6_/Z
           0.54          0.66   product_in_tri_23_/A
          -0.05          0.16   product_in_tri_23_/EN
           0.16         -0.05   product_in_tri_23_/Z
           0.54          0.66   product_in_tri_22_/A
          -0.05          0.16   product_in_tri_22_/EN
           0.16         -0.05   product_in_tri_22_/Z
           0.54          0.66   product_in_tri_3_/A
          -0.22          0.16   product_in_tri_3_/EN
           0.11         -0.22   product_in_tri_3_/Z
           0.54          0.66   product_in_tri_17_/A
          -0.05          0.16   product_in_tri_17_/EN
           0.16         -0.05   product_in_tri_17_/Z
           0.54          0.66   product_in_tri_21_/A
          -0.05          0.16   product_in_tri_21_/EN
           0.16         -0.05   product_in_tri_21_/Z
           0.54          0.66   product_in_tri_1_/A
          -0.05          0.16   product_in_tri_1_/EN
           0.16         -0.05   product_in_tri_1_/Z
           0.28          0.26   U871/A
           0.26          0.28   U871/ZN
           0.28          0.27   U872/A
           0.27          0.28   U872/ZN
           0.28          0.27   U873/A
           0.27          0.28   U873/ZN
           0.28          0.27   U874/A
           0.27          0.28   U874/ZN
           0.28          0.27   U875/A
           0.27          0.28   U875/ZN
           0.30          0.25   U876/A
           0.25          0.30   U876/ZN
          -0.50         -0.40   U1012/A1
          -0.48         -0.32   U1012/A2
          -0.69         -0.54   U1012/A3
          -0.54         -0.69   U1012/ZN
              *             *   data_result[4]
           0.18          0.09   U41/A
           0.09          0.18   U41/ZN
           0.11         -0.22   U63/A
          -0.22          0.11   U63/ZN
           0.26          0.30   U126/A1
           0.25          0.09   U126/A2
           0.66          0.71   U126/B1
           0.27          0.25   U126/B2
           0.09          0.25   U126/ZN
           0.10         -0.24   U177/A1
           0.25          0.26   U177/A2
           0.26          0.30   U177/B1
