****************************************
Report : report_global_slack
Design : multdiv
Version: K-2015.06-SP3-2
Date   : Wed Apr 28 12:37:20 2021
****************************************

       Max_Rise      Max_Fall   Point
              *             *   U773/A
              *             *   U773/ZN
              *             *   U774/A
              *             *   U774/ZN
              *             *   U775/A
              *             *   U775/ZN
              *             *   U776/A
              *             *   U776/ZN
              *             *   U777/A
              *             *   U777/ZN
              *             *   U778/A
              *             *   U778/ZN
              *             *   U779/A
              *             *   U779/ZN
              *             *   U780/A
              *             *   U780/ZN
              *             *   U781/A
              *             *   U781/ZN
              *             *   U782/A
              *             *   U782/ZN
              *             *   U783/A
              *             *   U783/ZN
              *             *   U784/A
              *             *   U784/ZN
              *             *   U785/A
              *             *   U785/ZN
              *             *   U786/A
              *             *   U786/ZN
              *             *   U787/A
              *             *   U787/ZN
              *             *   U788/A
              *             *   U788/ZN
              *             *   U789/A
              *             *   U789/ZN
              *             *   U790/A
              *             *   U790/ZN
              *             *   U791/A
              *             *   U791/ZN
              *             *   U793/A
              *             *   U793/ZN
              *             *   U941/A
              *             *   U941/ZN
              *             *   U942/A
              *             *   U942/ZN
              *             *   U943/A
              *             *   U943/ZN
              *             *   U944/A
              *             *   U944/ZN
          -2.24         -2.25   U1027/B1
          -2.20         -2.23   U1027/B2
          -2.29         -2.18   U1027/A
          -2.25         -2.29   U1027/ZN
          -2.04         -2.06   U1029/B1
          -2.02         -1.96   U1029/B2
              *             *   U1029/A
          -2.06         -2.04   U1029/ZN
          -2.17         -2.24   U1032/A1
          -2.21         -2.18   U1032/A2
          -2.13         -2.23   U1032/A3
          -2.24         -2.21   U1032/ZN
              *             *   U1035/A1
              *             *   U1035/A2
              *             *   U1035/ZN
              *             *   U1038/A1
              *             *   U1038/A2
              *             *   U1038/A3
              *             *   U1038/ZN
              *             *   U1040/A
              *             *   U1040/ZN
              *             *   U1041/A
              *             *   U1041/ZN
              *             *   U1042/A
              *             *   U1042/ZN
              *             *   U1043/A
              *             *   U1043/ZN
              *             *   U1044/A
              *             *   U1044/ZN
              *             *   U1045/A
              *             *   U1045/ZN
              *             *   U1046/A
              *             *   U1046/ZN
              *             *   U1047/A
              *             *   U1047/ZN
              *             *   U1048/A
              *             *   U1048/ZN
              *             *   U1176/A
              *             *   U1176/ZN
              *             *   U214/A1
              *             *   U214/A2
              *             *   U214/A3
              *             *   U214/A4
              *             *   U214/ZN
              *             *   U215/A1
              *             *   U215/A2
              *             *   U215/A3
              *             *   U215/A4
              *             *   U215/ZN
              *             *   U216/A1
              *             *   U216/A2
              *             *   U216/A3
              *             *   U216/A4
              *             *   U216/ZN
              *             *   U217/A1
              *             *   U217/A2
              *             *   U217/A3
              *             *   U217/A4
              *             *   U217/ZN
              *             *   U219/A1
              *             *   U219/A2
              *             *   U219/A3
              *             *   U219/A4
              *             *   U219/ZN
              *             *   U220/A1
              *             *   U220/A2
              *             *   U220/A3
              *             *   U220/A4
              *             *   U220/ZN
              *             *   U221/A1
              *             *   U221/A2
              *             *   U221/A3
              *             *   U221/A4
              *             *   U221/ZN
              *             *   U222/A1
              *             *   U222/A2
              *             *   U222/A3
              *             *   U222/A4
              *             *   U222/ZN
              *             *   U225/A1
